№,product_name,sku,article,order_multiple,source_row
216,"G167 Переключ. 2 кл механизм ""ARTGALLERY"" базальт GAL1465 (5)",300200950_,GAL001465,5.0,218
217,"G168 Диммер поворотно-нажимной механизм 400Вт ""ARTGALLERY"" базальт GAL1423 (1)",300200951_,GAL001423,1.0,219
218,"G169 Выкл. 1 кл кнопочный 10А механизм ""ARTGALLERY"" базальт GAL1415 (5)",300200952_,GAL001415,5.0,220
219,"G170 Вывод кабеля механизм ""ARTGALLERY"" базальт GAL1499 (5)",300200953_,GAL001499,5.0,221
220,"G171 Роз. 2-ная TV комп. RJ45 5Е ""ARTGALLERY"" базальт GAL1489 (5)",300200954_,GAL001489,5.0,222
221,"G172 Роз. USB A+C 45Вт высокоскор.заряд., механизм ""ARTGALLERY"" базальт GAL1429 (1)",300200955_,GAL001429,1.0,223
222,"G384 Выкл 1 кл 10А с/у ""ATLAS"" жемчуг ATN412 (10)",300200371_,ATN000412,10.0,224
223,"G385 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" жемчуг ATN413 (10)",300200420_,ATN000413,10.0,225
224,"G386 Выкл 2 кл 10А с/у ""ATLAS"" жемчуг ATN452 (10)",300200375_,ATN000452,10.0,226
225,"G387 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" жемчуг ATN453 (10)",300200422_,ATN000453,10.0,227
226,"G388 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" жемчуг ATN431 (10)",300200363_,ATN000431,10.0,228
227,"G390 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" жемчуг ATN483 (10)",300200368_,ATN000483,5.0,229
228,"G391 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" жемчуг ATN461 (10)",300200367_,ATN000461,10.0,230
229,"G392 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" жемчуг ATN463 (10)",300200426_,ATN000463,10.0,231
230,"G393 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" жемчуг ATN471 (5)",300200424_,ATN000471,5.0,232
231,"G394 Роз. 2-ная с/у 16А ""ATLAS"" жемчуг ATN420 (6)",300200372_,ATN000420,6.0,233
232,"G395 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" жемчуг ATN426 (6)",300200373_,ATN000426,6.0,234
233,"G397 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" жемчуг ATN485 (10)",300200418_,ATN000485,10.0,235
234,"G398 Роз. с з/к 16А с/у б/рамки ""ATLAS"" жемчуг ATN443 (10)",300200365_,ATN000443,10.0,236
235,"G3988 Роз. без з/к без с/ш 16А б/рамки ""ATLAS"" жемчуг ATN441 (10) NEW",300200364_,ATN000441,10.0,237
236,"G399 Роз. с з/к 16А с/у з/ш ""ATLAS"" жемчуг ATN444 (10)",300200374_,ATN000444,10.0,238
237,"G401 ТV роз. оконечная с/у б/рамки ""ATLAS"" жемчуг ATN491  (10)",300200370_,ATN000491,10.0,239
238,"G402 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" жемчуг ATN481 (10)",300200425_,ATN000481,5.0,240
239,"G404 USB розетка - 2 порта с/у б/рамки ""ATLAS"" жемчуг ATN433 (1) !!!",300200419_,ATN000433,1.0,241
240,"G405 Рамка 1-ная ""ATLAS"" жемчуг  ATN401 (20)",300200376_,ATN000401,20.0,242
241,"G406 Рамка 2-ная ""ATLAS"" жемчуг ATN402 (10)",300200377_,ATN000402,10.0,243
242,"G407 Рамка 3-ная ""ATLAS"" жемчуг ATN403 (15)",300200378_,ATN000403,5.0,244
243,"G408 Рамка 4-ная ""ATLAS"" жемчуг ATN404 (15)",300200379_,ATN000404,5.0,245
244,"G409 Рамка 5-ная ""ATLAS"" жемчуг ATN405 (5)",300200380_,ATN000405,5.0,246
245,"G414 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" жемчуг ATN465 (10)",300200421_,ATN000465,10.0,247
246,"GLOSSA 2-клавишный ВЫКЛЮЧАТЕЛЬ, сх.5, 10АХ, механизм, БЕЛЫЙ",щщщ0116254,GSL000151,20.0,248
247,"K001 Роз. с з/к 16А с/у б/рамки ""ATLAS"" СТАЛЬ ATN943 (5)",300200520_,ATN000943,5.0,249
248,"K002 Выкл 1 кл 10А с/у ""ATLAS"" СТАЛЬ ATN912 (5) NEW",300200521_,ATN000912,5.0,250
249,"K003 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN913 (5)",300200522_,ATN000913,5.0,251
250,"K004 Выкл 2 кл 10А с/у ""ATLAS"" СТАЛЬ ATN952 (5) NEW",300200523_,ATN000952,5.0,252
251,"K005 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN953 (5)",300200524_,ATN000953,5.0,253
252,"K006 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN931 (5)",300200525_,ATN000931,5.0,254
253,"K007 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" СТАЛЬ ATN983 (5)",300200526_,ATN000983,1.0,255
254,"K008 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN961 (5)",300200527_,ATN000961,5.0,256
255,"K010 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN971 (2)",300200529_,ATN000971,1.0,257
256,"K011 Роз. 2-ная с/у 16А ""ATLAS"" СТАЛЬ ATN920 (6)",300200530_,ATN000920,6.0,258
257,"K012 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" СТАЛЬ ATN926 (6)",300200531_,ATN000926,6.0,259
258,"K013 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" СТАЛЬ ATN985 (5)",300200532_,ATN000985,1.0,260
259,"K014 Роз. с з/к 16А с/у з/ш ""ATLAS"" СТАЛЬ ATN944 (5)",300200533_,ATN000944,5.0,261
260,"K015 ТV роз. оконечная с/у б/рамки ""ATLAS"" СТАЛЬ ATN991(5)",300200534_,ATN000991,5.0,262
261,"K016 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" СТАЛЬ ATN981 (5)",300200535_,ATN000981,1.0,263
262,"K017 Рамка 1-ная ""ATLAS"" СТАЛЬ ATN901 (5)",300200536_,ATN000901,10.0,264
263,"K018 Рамка 2-ная ""ATLAS"" СТАЛЬ ATN902 (5)",300200537_,ATN000902,5.0,265
264,"K019 Рамка 3-ная ""ATLAS"" СТАЛЬ ATN903 (2)",300200538_,ATN000903,5.0,266
265,"K020 Рамка 4-ная ""ATLAS"" СТАЛЬ ATN904 (2)",300200539_,ATN000904,5.0,267
266,"K021 Рамка 5-ная ""ATLAS"" СТАЛЬ ATN905 (2)",300200540_,ATN000905,5.0,268
267,"K022 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN965 (5)",300200541_,ATN000965,5.0,269
268,"K023 Роз. с з/к 16А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN543 (10)",300200542_,ATN000543,10.0,270
269,"K0233 Роз. с з/к с з/ш, 16А, механизм ""ATLAS"" ШАМПАНЬ ATN545 (10)",300200624_,ATN000545,10.0,271
270,"K02333 Роз. без з/к без с/ш 16А мех. ""ATLAS"" ШАМПАНЬ ATN541 (10) NEW",300200704_,ATN000541,10.0,272
271,"K024 Выкл 1 кл 10А с/у ""ATLAS"" ШАМПАНЬ ATN512 (10)",300200543_,ATN000512,10.0,273
272,"K025 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN513 (10)",300200544_,ATN000513,10.0,274
273,"K026 Выкл 2 кл 10А с/у ""ATLAS"" ШАМПАНЬ ATN552 (10)",300200545_,ATN000552,10.0,275
274,"K0266 Выкл. 2 кл 10А б/рамки ""ATLAS"" ШАМПАНЬ ATN551 (10) NEW",300200593_,ATN000551,10.0,276
275,"K027 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN553 (10)",300200546_,ATN000553,10.0,277
276,"K028 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN531 (10)",300200547_,ATN000531,10.0,278
277,"K029 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" ШАМПАНЬ ATN583 (10)",300200548_,ATN000583,5.0,279
278,"K030 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN561 (10)",300200549_,ATN000561,10.0,280
279,"K031 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" ШАМПАНЬ ATN563  (10)",300200550_,ATN000563,10.0,281
280,"K032 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN571 (5)",300200551_,ATN000571,5.0,282
281,"K0322 Перекрест. перекл. 2 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN573 (5) NEW",300200773_,ATN000573,5.0,283
282,"K033 Роз. 2-ная с/у 16А ""ATLAS"" ШАМПАНЬ ATN520 (6)",300200552_,ATN000520,6.0,284
283,"K034 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" ШАМПАНЬ ATN526 (6)",300200553_,ATN000526,6.0,285
284,"K035 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" ШАМПАНЬ ATN585 (10)",300200554_,ATN000585,5.0,286
285,"K036 Роз. с з/к 16А с/у з/ш ""ATLAS"" ШАМПАНЬ ATN544 (10)",300200555_,ATN000544,10.0,287
286,"K037 ТV роз. оконечная с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN591(10)",300200556_,ATN000591,10.0,288
287,"K038 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" ШАМПАНЬ ATN581 (10)",300200557_,ATN000581,10.0,289
288,"K039 Рамка 1-ная ""ATLAS"" ШАМПАНЬ ATN501 (10)",300200558_,ATN000501,20.0,290
289,"K040 Рамка 2-ная ""ATLAS"" ШАМПАНЬ ATN502 (10)",300200559_,ATN000502,10.0,291
290,"K041 Рамка 3-ная ""ATLAS"" ШАМПАНЬ ATN503 (15)",300200560_,ATN000503,5.0,292
291,"K042 Рамка 4-ная ""ATLAS"" ШАМПАНЬ ATN504 (15)",300200561_,ATN000504,5.0,293
292,"K043 Рамка 5-ная ""ATLAS"" ШАМПАНЬ ATN505 (5)",300200562_,ATN000505,5.0,294
293,"K044 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN565 (10)",300200563_,ATN000565,10.0,295
294,"K045 Роз. с з/к 16А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN743 (10)",300200564_,ATN000743,10.0,296
295,"K046 Выкл 1 кл 10А с/у ""ATLAS"" ГРИФЕЛЬ ATN712 (10)",300200565_,ATN000712,10.0,297
296,"K0461 Выкл. 1-кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN711 (10) NEW",300200590_,ATN000711,10.0,298
297,"K047 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN713 (10)",300200566_,ATN000713,10.0,299
298,"K048 Выкл 2 кл 10А с/у ""ATLAS"" ГРИФЕЛЬ ATN752 (10)",300200567_,ATN000752,10.0,300
299,"K0488 Выкл 2-кл 10А механизм ""ATLAS"" ГРИФЕЛЬ ATN751 (10)",300200591_,ATN000751,10.0,301
300,"K049 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN753 (10)",300200568_,ATN000753,10.0,302
301,"K050 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN731 (10)",300200569_,ATN000731,10.0,303
302,"K051 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" ГРИФЕЛЬ ATN783 (10)",300200570_,ATN000783,5.0,304
303,"K052 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN761 (10)",300200571_,ATN000761,10.0,305
304,"K053 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" ГРИФЕЛЬ ATN763  (10)",300200572_,ATN000763,5.0,306
305,"K054 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN771 (5)",300200573_,ATN000771,5.0,307
306,"K055 Роз. 2-ная с/у 16А ""ATLAS"" ГРИФЕЛЬ ATN720 (6)",300200574_,ATN000720,6.0,308
307,"K056 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" ГРИФЕЛЬ ATN726 (6)",300200575_,ATN000726,6.0,309
308,"K057 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" ГРИФЕЛЬ ATN785 (10)",300200511_,ATN000785,10.0,310
309,"K058 Роз. с з/к 16А с/у з/ш ""ATLAS"" ГРИФЕЛЬ ATN744 (10)",300200576_,ATN000744,10.0,311
310,"K0588 Роз. без з/к без з/ш б/рамки 16А ""ATLAS"" ГРИФЕЛЬ ATN741   (10) NEW",300200776_,ATN000741,10.0,312
311,"K059 ТV роз. оконечная с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN791 (10)",300200577_,ATN000791,10.0,313
312,"K061 Рамка 1-ная ""ATLAS"" ГРИФЕЛЬ ATN701 (10)",300200579_,ATN000701,20.0,314
313,"K062 Рамка 2-ная ""ATLAS"" ГРИФЕЛЬ ATN702 (10)",300200580_,ATN000702,10.0,315
314,"K063 Рамка 3-ная ""ATLAS"" ГРИФЕЛЬ ATN703 (15)",300200581_,ATN000703,5.0,316
315,"K064 Рамка 4-ная ""ATLAS"" ГРИФЕЛЬ ATN704 (15)",300200582_,ATN000704,5.0,317
316,"K065 Рамка 5-ная ""ATLAS"" ГРИФЕЛЬ ATN705 (5)",300200583_,ATN000705,5.0,318
317,"K066 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN765 (10)",300200584_,ATN000765,10.0,319
318,"K067 Роз. с з/к 16А с/у б/рамки ""ATLAS"" КАРБОН ATN1043 (5)",300200343_,ATN001043,10.0,320
319,"K0677 Роз. без з/к без шторок, 16А, механизм ""ATLAS"" КАРБОН ATN1041 (10)",020100163_,ATN001041,10.0,321
320,"K068 Выкл 1 кл 10А с/у ""ATLAS"" КАРБОН ATN1012 (5)",300200459_,ATN001012,5.0,322
321,"K0688 Выкл 1 кл 10А механизм ""ATLAS"" КАРБОН ATN1011 (5)",020100158_,ATN001011,10.0,323
322,"K069 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" КАРБОН - ATN1013",020100159_,ATN001013,5.0,324
323,"K070 Выкл 2 кл 10А с/у ""ATLAS"" КАРБОН ATN1052 (5)",300200460_,ATN001052,5.0,325
324,"K0700 Выкл 2 кл 10А механизм ""ATLAS"" КАРБОН ATN1051 (5)",020100160_,ATN001051,10.0,326
325,"K071 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" КАРБОН  - ATN1053",020100161_,ATN001053,5.0,327
326,"K072 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" КАРБОН  ATN1031",300200461_,ATN001031,5.0,328
327,"K074 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" КАРБОН ATN1083 (5)",300200472_,ATN001083,5.0,329
328,"K075 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" КАРБОН ATN1061 (5)",300200462_,ATN001061,10.0,330
329,"K076 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" КАРБОН ATN1063 (2)",300200517_,ATN001063,5.0,331
330,"K077 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"", КАРБОН -  ATN1071 (2)",020100162_,ATN001071,5.0,332
331,"K0777 Перекрест. перекл. 2 кл 10А с/у б/рамки мех. ""ATLAS"" КАРБОН ATN1073   (5) NEW",300200772_,ATN001073,5.0,333
332,"K078 Роз. 2-ная с/у 16А ""ATLAS"" КАРБОН ATN1020 (6)",300200468_,ATN001020,6.0,334
333,"K079 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" КАРБОН ATN1026 (6)",300200515_,ATN001026,6.0,335
334,"K080 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" КАРБОН ATN1085 (5)",300200518_,ATN001085,5.0,336
335,"K081 Роз. с з/к 16А с/у з/ш ""ATLAS"" КАРБОН ATN1044 (5)",300200516_,ATN001044,5.0,337
336,"K082 ТV роз. оконечная с/у б/рамки ""ATLAS"" КАРБОН ATN1091",300200471_,ATN001091,5.0,338
337,"K083 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" КАРБОН ATN1081",300200470_,ATN001081,5.0,339
338,"K084 Рамка 1-ая ""ATLAS"" КАРБОН ATN1001 (10)",300200463_,ATN001001,20.0,340
339,"K085 Рамка 2-ая ""ATLAS"" КАРБОН ATN1002 (5)",300200464_,ATN001002,10.0,341
340,"K086 Рамка 3-ая ""ATLAS"" КАРБОН ATN1003 (15)",300200465_,ATN001003,5.0,342
341,"K087 Рамка 4-ая ""ATLAS"" КАРБОН ATN1004",300200466_,ATN001004,5.0,343
342,"K088 Рамка 5-ая ""ATLAS"" КАРБОН ATN1005",300200467_,ATN001005,5.0,344
343,"K089 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" КАРБОН ATN1065 (5)",300200519_,ATN001065,5.0,345
344,"K090 Диммер повортно нажимной мех. LED RC 400Вт ""ATLAS"" КАРБОН ATN1023 (1) NEW",300200775_,ATN001023,1.0,346
345,"K091 Выкл. AQUA 2 кл IP44 мех. ""ATLAS"" КАРБОН ATN441051   (5) NEW",300200781_,ATN441051,5.0,347
346,"K093 Роз. AQUA с з/к с ш/т 16А с крышкой IP44 механизам ""ATLAS"" КАРБОН ATN441046 (10) NEW",300200779_,ATN441046,10.0,348
347,"K094 Рамка 1-ная AQUA IP44 ""ATLAS"" КАРБОН ATN441001     (10) NEW",300200782_,ATN441001,10.0,349
348,"K095 Рамка 2-ная AQUA IP44 ""ATLAS"" КАРБОН ATN441002     (5) NEW",300200783_,ATN441002,5.0,350
349,"S197 Рамка 1-ная   ""Wessen 59"" (90) !!!",300100015_,KD-1-18,90.0,351
350,"S198 Рамка 2-ная   ""Wessen 59"" (60) !!!",300100006_,KD-2-18,60.0,352
351,"S199 Рамка 3-ная ""Wessen 59"" (15/60) !!!",300100003_,KD-3-18,15.0,353
352,"S200 Рамка 4-ная  ""Wessen 59"" (15/60) !!!",300100012_,KD-4-18,15.0,354
353,"S231 1кл с/у. 6А IP20 ""Прима"" ВС 16-057-б (96) !!!",030200006_,S16-057-B,1.0,355
354,"S232 2кл с/у. 6А IP20 ""Прима"" ВС 56-043-б (96) !!!",030200008_,S56-043-B,1.0,356
355,"S233 1кл. инд.с/у 6А IP20 ""Прима"" ВС 16-053-б (96) !!!",030200005_,S16-053-B,1.0,357
356,"S234 2кл.инд.с/у 6А IP20 ""Прима"" ВС 56-039-б (96) !!!",030200007_,S56-039-B,1.0,358
357,"S236 с/у з/к.з/ш.16А IP20 ""Прима"" РС 16-004-б (81) !!!",030200015_,RS16-004-B,1.0,359
358,"S239 1кл о/у. 6А IP20  ""Прима"" ВА 16-051-б (130) !!!",030200002_,A16-051-B,1.0,360
359,"S242 2кл.инд  о/у 6А IP20  ""Прима"" ВА 56-007-б (130) !!!",030200003_,A56-007-B,1.0,361
360,"S243 о\у 10А IP20  ""Прима"" РА 10-164-б (168) !!!",030200009_,RA10-164-B,1.0,362
361,"S248 с/у. 6А IP20 ""ХИТ"" ВС 16-133-б (96) !!!",030200030_,VS16-133-B,20.0,363
362,"S249 2кл. с/у. 6А IP20 ""ХИТ"" ВС 56-234-б (96)  !!!",030200031_,VS56-234-B,20.0,364
363,"S250 с/у 10А IP20  ""ХИТ"" РС 10-132-б / 10-135-б (114)  !!!",030200036_,RS10-132-B,20.0,365
364,"S251 с/у.з/к 16А  IP20  ""ХИТ"" РС 16-134-б (81) !!!",030200038_,RS16-134-B,20.0,366
365,"S252 2-я с/у 10А IP20  ""ХИТ""  РС 16-235-б / 16-230-б (80) !!!",030200037_,RS16-235-B,10.0,367
366,"S253 2-я с/у.з/к 16А IP20 ""ХИТ"" РС 16-236-б  (68) !!!",030200039_,RS16-236-B,10.0,368
367,"S254 о/у. 6А IP20  ""ХИТ"" ВА 16-131-б (168) !!!",030200028_,VA16-131-B,25.0,369
368,"S255 2кл.о/у. 6А IP20 ""ХИТ"" ВА 56-232-б (168) !!!",030200029_,VA56-232-B,25.0,370
369,"S256 о/у.10А IP20  ""ХИТ"" РА 10-131-б (168) !!!",030200032_,RA10-131-B,25.0,371
370,"S257 о/у. з/к 16А IP20  ""ХИТ""  РА 16-133-б (132) !!!",030200034_,RA16-133-B,17.0,372
371,"S258  2-я.о/у. 10А IP20 ""ХИТ"" РА 16-237I-б / РА 16-233I-б (112) !!!",030200239_,RA16-237I-B,16.0,373
372,"S259 2-я. о/у.з/к.16А IP20 ""ХИТ"" РА 16-238I-б (84) !!!",030200240_,RA16-238I-B,16.0,374
373,"S266 1кл с/у инд 10А ""Wessen 59"" ВС 110-153-18 (10/60) !!!",030200379_,VS110-153-18,1.0,375
374,"S283 о/у. 6А IP44 ""Рондо"" ВА 66-102Б-би переключатель (10/60) !!!",030200026_,VA66-102B-BI,1.0,376
375,"S284 2кл. о/у 6А IP44  ""Рондо"" ВА 56-225Б-би (10/60) !!!",030200025_,VA56-225B-BI,1.0,377
376,"S285 с/у.з/к.з/ш 16А IP44 ""Рондо"" РС 16-126Б-би (10/60) !!!",030200027_,RS16-126B-BI,1.0,378
377,"S286 о/у.з/ш. 10А IP44 ""Рондо"" РА 10-125Б-би (12/72) !!!",030200052_,RA10-125B-BI,1.0,379
378,"S287 о/у.з/к.з/ш.16А IP44 ""Рондо"" РА 16-112Б-би (10/60) !!!",030200053_,RA16-112B-BI,1.0,380
379,"S288 2-я.о/у. з/к.з/ш 16А IP44 ""Рондо"" РА 16-227Б-би (5/30) !!!",030200054_,RA16-227B-BI,1.0,381
380,"S297  Розетка  2-ая с/у, з/ш ЭТЮД (120) РС16-006В !!!",030200183_,РС16-006В,1.0,382
381,"S310  Розетка IP44 с/у, з/к, з/ш ЭТЮД РС16-044В (120)",030200191_,PC16-044B,14.0,383
382,S313  Выкл. 1-кл. с инд. о/у IP44 Белый ЭТЮД ВА10-045В (112),030200175_,BA10-045B,14.0,384
383,"S315  Розетка 1-я о/у, з/ш, з/к IP44 Белая ЭТЮД РА16-044В (96)",030200176_,PA16-044B,12.0,385
384,"S360 Выкл 1 кл 10А с/у ""GLOSSA"" белый GSL112 (15)",030200247_,GSL000112,15.0,386
385,"S361 Выкл 1 кл с инд 10А с/у б/рамки "" белый GSL113 (20)",030200246_,GSL000113,20.0,387
386,"S362 Выкл 2 кл 10А с/у ""GLOSSA"" белый GSL152 (15)",030200243_,GSL000152,15.0,388
387,"S363 Выкл 2 кл с инд 10А с/у б/рамки ""GLOSSA"" белый GSL153 (20)",030200244_,GSL000153,20.0,389
388,"S364 Выкл 3 кл 10А с/у б/рамки ""GLOSSA"" белый GSL131 (20)",030200245_,GSL000131,20.0,390
389,"S365 Переключ. 1 кл 10А с/у б/рамки ""GLOSSA"" белый GSL161 (20)",030200248_,GSL000161,20.0,391
390,"S366 Переключ. 1 кл с инд 10А с/у б/рамки ""GLOSSA"" белый GSL163 (20)",030200249_,GSL000163,20.0,392
391,"S367 Роз. 2-ная с/у 16А ""GLOSSA"" белый GSL120 (15)",030200259_,GSL000120,15.0,393
392,"S368 Роз. 2-ная с/у 16А с з/к з/ш ""GLOSSA"" белый GSL126 (10)",030200260_,GSL000126,10.0,394
393,"S369 Роз. с з/к 16А с/у ""GLOSSA"" белый GSL142 (15)",030200256_,GSL000142,15.0,395
394,"S370 Роз. с з/к 16А с/у з/ш ""GLOSSA"" белый GSL144 (15)",030200257_,GSL000144,15.0,396
395,"S371 Роз. с з/к 16А с/у з/ш IP44 ""GLOSSA"" белый GSL148 (10)",030200258_,GSL000148,10.0,397
396,"S374 Комп. роз. RJ45 5Е механизм б/рамки ""GLOSSA"" белый GSL181K (10)",030200263_,GSL000181K,10.0,398
397,"S375 Роз. RG11+RJ45 5Е кат 5Е механизм б/рамки ""GLOSSA"" белый GSL185 (10)",030200262_,GSL000185,10.0,399
398,"S376 ТV роз. проход.с/у б/рамки ""GLOSSA"" белый GSL192 (10)",030200265_,GSL000192,10.0,400
399,"S377 Телефонная роз. RJ11 механизм б/рамки ""GLOSSA"" белый GSL181T (10)",030200261_,GSL000181T,10.0,401
400,"S378 USB розетка - 2х5В/ 1050 мА с/у б/рамки ""GLOSSA"" белый GSL133 (1)",030200292_,GSL000133,1.0,402
401,"S379 Рамка 1-ная ""GLOSSA"" белый GSL101 (45)",030200250_,GSL000101,45.0,403
402,"S380 Рамка 2-ная ""GLOSSA"" белый GSL102 (30)",030200251_,GSL000102,30.0,404
403,"S381 Рамка 3-ная ""GLOSSA"" белый GSL103 (15)",030200252_,GSL000103,15.0,405
404,"S382 Рамка 4-ная ""GLOSSA"" белый GSL104 (15)",030200253_,GSL000104,15.0,406
405,"S383 Рамка 5-ная ""GLOSSA"" белый GSL105 (5)",030200254_,GSL000105,5.0,407
406,"S3833 Выкл 1 кл 10А с/у б/рамки ""ATLAS"" белый (20) ATN111",300200331_,ATN000111,20.0,408
407,"S384 Выкл 1 кл 10А с/у ""ATLAS"" белый ATN112  (15)",300200296_,ATN000112,15.0,409
408,"S385 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" белый ATN113 (20)",300200283_,ATN000113,20.0,410
409,"S386 Выкл 2 кл 10А с/у ""ATLAS"" белый ATN152 (15)",300200302_,ATN000152,15.0,411
410,"S3866 Выкл 2 кл 10А механизм ""ATLAS"" белый ATN151 (20)",300200333_,ATN000151,20.0,412
411,"S387 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" белый ATN153 (20)",300200288_,ATN000153,20.0,413
412,"S388 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" белый ATN131 (20)",300200284_,ATN000131,20.0,414
413,"S3899 Диммер поворотно-нажимной с/у б/рамки 400Вт ""ATLAS"" белый ATN123 (1)",300200767_,ATN000123,1.0,415
414,"S390 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" белый ATN183 (10)",300200293_,ATN000183,10.0,416
415,"S391 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" белый ATN161 (20)",300200289_,ATN000161,20.0,417
416,"S392 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" белый ATN163 (20)",300200290_,ATN000163,20.0,418
417,"S393 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" белый ATN171 (5)",300200291_,ATN000171,5.0,419
418,"S394 Роз. 2-ная с/у 16А ""ATLAS"" белый ATN120 (15)",300200297_,ATN000120,15.0,420
419,"S395 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" белый ATN126 (10)",300200298_,ATN000126,10.0,421
420,"S396 Роз. 2-ная с/у 16А с з/к з/ш со сдвиж.крыш.""ATLAS"" белый ATN128 (6)",300200299_,ATN000128,6.0,422
421,"S397 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" белый ATN185 (10)",300200294_,ATN000185,10.0,423
422,"S398 Роз. с з/к 16А с/у б/рамки ""ATLAS"" белый ATN143 (20)",300200286_,ATN000143,20.0,424
423,"S3988 Роз. без з/к без шторок 16А механизм ""ATLAS"" белый ATN141 (20)",300200332_,ATN000141,20.0,425
424,"S399 Роз. с з/к 16А с/у з/ш ""ATLAS"" белый ATN144 (15)",300200301_,ATN000144,15.0,426
425,"S400 Роз. с з/к 16А с/у з/ш с выталкивателем б/рамки ""ATLAS"" белый ATN147 (15)",300200287_,ATN000147,15.0,427
